town,office,district,party,candidate,votes
Jamestown,School Committee TOWN OF JAMESTOWN,,NON,WRITE-IN,98
Jamestown,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,2217
Jamestown,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,1636
Jamestown,"2. LIBRARY $1,500,000 BONDS AND NOTES TOWN OF JAMESTOWN",,NON,Approve,3023
Jamestown,"2. LIBRARY $1,500,000 BONDS AND NOTES TOWN OF JAMESTOWN",,NON,Reject,907
Jamestown,3. Section 219: Initiative and Referendum,,NON,Approve,2417
Jamestown,3. Section 219: Initiative and Referendum,,NON,Reject,1165
Johnston,President,,REP,Donald J. Trump,8222
Johnston,President,,DEM,Joseph R. Biden,6838
Johnston,President,,Lib,Jo Jorgensen,88
Johnston,President,,NON,WRITE-IN,58
Johnston,President,,All,Roque &quot;Rocky&quot; De La Fuente,24
Johnston,President,,AS,Brian Carroll,18
Johnston,President,,S&L,Gloria La Riva,15
Johnston,U.S. Senate,,DEM,John F. Reed,8273
Johnston,U.S. Senate,,REP,Allen R. Waters,6247
Johnston,U.S. Senate,,NON,WRITE-IN,22
Johnston,U.S. House,2,DEM,James R. Langevin,7514
Johnston,U.S. House,2,REP,Robert B. Lancia,7021
Johnston,U.S. House,2,NON,WRITE-IN,24
Johnston,State Senate,22,DEM,Stephen R. Archambault,147
Johnston,State Senate,22,REP,Paul M. Santucci,119
Johnston,State Senate,22,Ind,Stephen G. Tocco,24
Johnston,State Senate,22,NON,WRITE-IN,1
Johnston,State Senate,25,DEM,"Frank Lombardo, III",10832
Johnston,State Senate,25,NON,WRITE-IN,473
Johnston,State House,13,DEM,Ramon A. Perez,765
Johnston,State House,13,NON,WRITE-IN,99
Johnston,State House,42,DEM,"Edward T. Cardillo, Jr.",2611
Johnston,State House,42,REP,Frank T. Ricci,2540
Johnston,State House,42,NON,WRITE-IN,14
Johnston,State House,43,DEM,Deborah A. Fellela,4004
Johnston,State House,43,REP,Nicola Antonio Grasso,2856
Johnston,State House,43,NON,WRITE-IN,48
Johnston,State House,44,DEM,Gregory J. Costantino,851
Johnston,State House,44,NON,WRITE-IN,52
Johnston,Town Council District 1 Johnston,,DEM,Linda L. Folcarelli,1981
Johnston,Town Council District 1 Johnston,,NON,WRITE-IN,70
Johnston,Town Council District 2 Johnston,,DEM,Lauren Garzone,2149
Johnston,Town Council District 2 Johnston,,NON,WRITE-IN,103
Johnston,Town Council District 3 Johnston,,DEM,"Joseph M. Polisena, Jr.",2194
Johnston,Town Council District 3 Johnston,,NON,WRITE-IN,69
Johnston,Town Council District 4 Johnston,,DEM,Robert V. Russo,2366
Johnston,Town Council District 4 Johnston,,NON,WRITE-IN,105
Johnston,Town Council District 5 Johnston,,DEM,Robert J. Civetti,2011
Johnston,Town Council District 5 Johnston,,Ind,"James Florio, Jr.",1349
Johnston,Town Council District 5 Johnston,,NON,WRITE-IN,22
Johnston,School Committee District 1 Johnston,,DEM,Robert A. LaFazia,1990
Johnston,School Committee District 1 Johnston,,NON,WRITE-IN,57
Johnston,School Committee District 3 Johnston,,DEM,David J. Santilli,2043
Johnston,School Committee District 3 Johnston,,NON,WRITE-IN,76
Johnston,School Committee District 4 Johnston,,DEM,Joseph W. Rotella,2241
Johnston,School Committee District 4 Johnston,,NON,WRITE-IN,83
Johnston,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,8036
Johnston,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,5540
Lincoln,President,,DEM,Joseph R. Biden,6633
Lincoln,President,,REP,Donald J. Trump,5779
Lincoln,President,,Lib,Jo Jorgensen,130
Lincoln,President,,NON,WRITE-IN,71
Lincoln,President,,All,Roque &quot;Rocky&quot; De La Fuente,28
Lincoln,President,,AS,Brian Carroll,19
Lincoln,President,,S&L,Gloria La Riva,11
Lincoln,U.S. Senate,,DEM,John F. Reed,7514
Lincoln,U.S. Senate,,REP,Allen R. Waters,4721
Lincoln,U.S. Senate,,NON,WRITE-IN,23
Lincoln,U.S. House,1,DEM,David N. Cicilline,7150
Lincoln,U.S. House,1,Ind,Frederick Wysocki,2419
Lincoln,U.S. House,1,Ind,Jeffrey Edward Lemire,2168
Lincoln,U.S. House,1,NON,WRITE-IN,103
Lincoln,State Senate,17,REP,Thomas J. Paolino,6453
Lincoln,State Senate,17,DEM,"John Douglas Barr, II",4484
Lincoln,State Senate,17,NON,WRITE-IN,20
Lincoln,State Senate,19,DEM,Ryan W. Pearson,993
Lincoln,State Senate,19,NON,WRITE-IN,47
Lincoln,State House,44,DEM,Gregory J. Costantino,1630
Lincoln,State House,44,NON,WRITE-IN,102
Lincoln,State House,45,DEM,Mia A. Ackerman,1771
Lincoln,State House,45,NON,WRITE-IN,97
Lincoln,State House,46,DEM,Mary Ann Shallcross Smith,2946
Lincoln,State House,46,Ind,"John W. Lyle, Jr.",2488
Lincoln,State House,46,REP,John J. Cullen,2253
Lincoln,State House,46,NON,WRITE-IN,18
Lincoln,Town Council District 1 Lincoln,,Ind,"Arthur S. Russo, Jr.",2107
Lincoln,Town Council District 1 Lincoln,,NON,WRITE-IN,33
Lincoln,Town Council District 2 Lincoln,,Ind,Bruce J. Ogni,1727
Lincoln,Town Council District 2 Lincoln,,NON,WRITE-IN,36
Lincoln,Town Council District 3 Lincoln,,Ind,Keith E. Macksoud,1910
Lincoln,Town Council District 3 Lincoln,,DEM,"Dean L. Lees, Jr.",1070
Lincoln,Town Council District 3 Lincoln,,NON,WRITE-IN,19
Lincoln,Town Council District 4 Lincoln,,DEM,Pamela M. Azar,1447
Lincoln,Town Council District 4 Lincoln,,REP,"Robert K. Leahy, Jr.",1219
Lincoln,Town Council District 4 Lincoln,,NON,WRITE-IN,4
Lincoln,Town Council District 5 Lincoln,,REP,Kenneth G. Pichette,1618
Lincoln,Town Council District 5 Lincoln,,NON,WRITE-IN,64
Lincoln,Non-Partisan School Committee-At-Large TOWN OF LINCOLN,,NON,John Picozzi,7853
Lincoln,Non-Partisan School Committee-At-Large TOWN OF LINCOLN,,NON,Joseph B. Goho,6235
Lincoln,Non-Partisan School Committee-At-Large TOWN OF LINCOLN,,NON,WRITE-IN,270
Lincoln,Non-Partisan School Committee District 2 Lincoln,,NON,Steven Carvalho,1659
Lincoln,Non-Partisan School Committee District 2 Lincoln,,NON,WRITE-IN,27
Lincoln,Non-Partisan School Committee District 4 Lincoln,,NON,Mary Anne H. Roll,2164
Lincoln,Non-Partisan School Committee District 4 Lincoln,,NON,WRITE-IN,37
Lincoln,Water Commissioner District 2 Lincoln,,DEM,Eric F. Fox,1637
Lincoln,Water Commissioner District 2 Lincoln,,NON,WRITE-IN,50
Lincoln,Water Commissioner District 4 Lincoln,,Ind,Julie A. Labreche,2218
Lincoln,Water Commissioner District 4 Lincoln,,NON,WRITE-IN,30
Lincoln,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,6006
Lincoln,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,5533
Little Compton,President,,DEM,Joseph R. Biden,1524
Little Compton,President,,REP,Donald J. Trump,951
Little Compton,President,,Lib,Jo Jorgensen,28
Little Compton,President,,NON,WRITE-IN,18
Little Compton,President,,AS,Brian Carroll,8
Little Compton,President,,S&L,Gloria La Riva,5
Little Compton,President,,All,Roque &quot;Rocky&quot; De La Fuente,1
Little Compton,U.S. Senate,,DEM,John F. Reed,1594
Little Compton,U.S. Senate,,REP,Allen R. Waters,858
Little Compton,U.S. Senate,,NON,WRITE-IN,3
Little Compton,U.S. House,1,DEM,David N. Cicilline,1517
Little Compton,U.S. House,1,Ind,Frederick Wysocki,444
Little Compton,U.S. House,1,Ind,Jeffrey Edward Lemire,303
Little Compton,U.S. House,1,NON,WRITE-IN,15
Little Compton,State Senate,12,DEM,Louis P. DiPalma,1832
Little Compton,State Senate,12,NON,WRITE-IN,62
Little Compton,State House,71,DEM,Michelle E. McGaw,1353
Little Compton,State House,71,REP,Amy E. Veri,972
Little Compton,State House,71,Ind,Nathan Joseph Melvin,120
Little Compton,State House,71,NON,WRITE-IN,0
Little Compton,Town Moderator TOWN OF LITTLE COMPTON,,REP,Scott A. Morrison,2025
Little Compton,Town Moderator TOWN OF LITTLE COMPTON,,NON,WRITE-IN,34
Little Compton,Town Clerk TOWN OF LITTLE COMPTON,,REP,Carol A. Wordell,2128
Little Compton,Town Clerk TOWN OF LITTLE COMPTON,,NON,WRITE-IN,25
Little Compton,Town Council TOWN OF LITTLE COMPTON,,REP,Robert L. Mushen,1492
Little Compton,Town Council TOWN OF LITTLE COMPTON,,REP,Gary S. Mataronas,1421
Little Compton,Town Council TOWN OF LITTLE COMPTON,,REP,Paul J. Golembeske,1307
Little Compton,Town Council TOWN OF LITTLE COMPTON,,DEM,Andrew Wilder Moore,1261
Little Compton,Town Council TOWN OF LITTLE COMPTON,,DEM,Anya R. Wallack,1201
Little Compton,Town Council TOWN OF LITTLE COMPTON,,DEM,Patrick A. McHugh,1168
Little Compton,Town Council TOWN OF LITTLE COMPTON,,DEM,Nicole H. B. Barnard,1086
Little Compton,Town Council TOWN OF LITTLE COMPTON,,DEM,Jeremy T. Allen,1079
Little Compton,Town Council TOWN OF LITTLE COMPTON,,NON,WRITE-IN,28
Little Compton,School Committee TOWN OF LITTLE COMPTON,,DEM,Hannah C. Ayotte,1490
Little Compton,School Committee TOWN OF LITTLE COMPTON,,REP,"Michael W. Rocha, II",1244
Little Compton,School Committee TOWN OF LITTLE COMPTON,,DEM,Travis H. Auty,1070
Little Compton,School Committee TOWN OF LITTLE COMPTON,,NON,WRITE-IN,12
Little Compton,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,1275
Little Compton,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,1151
Middletown,President,,DEM,Joseph R. Biden,5529
Middletown,President,,REP,Donald J. Trump,2885
Middletown,President,,Lib,Jo Jorgensen,115
Middletown,President,,NON,WRITE-IN,44
Middletown,President,,AS,Brian Carroll,14
Middletown,President,,All,Roque &quot;Rocky&quot; De La Fuente,12
Middletown,President,,S&L,Gloria La Riva,9
Middletown,U.S. Senate,,DEM,John F. Reed,5750
Middletown,U.S. Senate,,REP,Allen R. Waters,2404
Middletown,U.S. Senate,,NON,WRITE-IN,8
Middletown,U.S. House,1,DEM,David N. Cicilline,5511
Middletown,U.S. House,1,Ind,Frederick Wysocki,1323
Middletown,U.S. House,1,Ind,Jeffrey Edward Lemire,922
Middletown,U.S. House,1,NON,WRITE-IN,43
Middletown,State Senate,12,DEM,Louis P. DiPalma,6740
Middletown,State Senate,12,NON,WRITE-IN,187
Middletown,State House,72,DEM,Terri-Denise Cortvriend,1796
Middletown,State House,72,REP,Kenneth J. Mendonca,1141
Middletown,State House,72,NON,WRITE-IN,4
Middletown,State House,73,DEM,Marvin L. Abney,1148
Middletown,State House,73,NON,WRITE-IN,32
Middletown,State House,74,DEM,Deborah L. Ruggiero,2947
Middletown,State House,74,NON,WRITE-IN,121
Middletown,Non-Partisan School Committee TOWN OF MIDDLETOWN,,NON,Tami E. Holden,2751
Middletown,Non-Partisan School Committee TOWN OF MIDDLETOWN,,NON,William R. O&#39;Connell,2736
Middletown,Non-Partisan School Committee TOWN OF MIDDLETOWN,,NON,Cynthia L. Perry,2668
Middletown,Non-Partisan School Committee TOWN OF MIDDLETOWN,,NON,Vanessa G. Ellermann,2128
Middletown,Non-Partisan School Committee TOWN OF MIDDLETOWN,,NON,Frances Marie Connolly Moldveen,1092
Middletown,Non-Partisan School Committee TOWN OF MIDDLETOWN,,NON,WRITE-IN,65
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,Terri Flynn,3825
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,Paul M. Rodrigues,3162
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,M. Theresa Santos,3103
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,Barbara A. VonVillas,3052
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,"Thomas P. Welch, III",2992
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,Robert J. Sylvia,2827
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,Dennis B. Turano,2695
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,Kathleen B. Ventura,2578
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,Christopher M. Logan,2491
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,Audrey J. MacLeod-Pfeiffer,2033
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,Antone C. Viveiros,1817
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,James R. Miller,1799
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,Gregory M. Huet,1704
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,"Thomas A. Heaney, Jr.",1683
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,Lawrence Frank,1671
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,"Arthur S. Weber, Jr.",1660
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,Daniel P. Titus,1490
Middletown,Non-Partisan Town Council TOWN OF MIDDLETOWN,,NON,WRITE-IN,92
Middletown,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,4293
Middletown,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,3615
Middletown,2. THE ACQUISITION AND PRESERVATION OF OPEN SPACE,,NON,Approve,6315
Middletown,2. THE ACQUISITION AND PRESERVATION OF OPEN SPACE,,NON,Reject,1614
Narragansett,President,,DEM,Joseph R. Biden,5333
Narragansett,President,,REP,Donald J. Trump,3551
Narragansett,President,,NON,WRITE-IN,62
Narragansett,President,,Lib,Jo Jorgensen,56
Narragansett,President,,All,Roque &quot;Rocky&quot; De La Fuente,14
Narragansett,President,,S&L,Gloria La Riva,9
Narragansett,President,,AS,Brian Carroll,5
Narragansett,U.S. Senate,,DEM,John F. Reed,5769
Narragansett,U.S. Senate,,REP,Allen R. Waters,2973
Narragansett,U.S. Senate,,NON,WRITE-IN,12
Narragansett,U.S. House,2,DEM,James R. Langevin,5147
Narragansett,U.S. House,2,REP,Robert B. Lancia,3558
Narragansett,U.S. House,2,NON,WRITE-IN,22
Narragansett,State Senate,35,DEM,Bridget G. Valverde,2348
Narragansett,State Senate,35,REP,Charles P. Callanan,1977
Narragansett,State Senate,35,NON,WRITE-IN,5
Narragansett,State Senate,36,DEM,Alana DiMario,2175
Narragansett,State Senate,36,REP,Doreen M. Costa,1402
Narragansett,State Senate,36,Ind,Matthew M. Mannix,672
Narragansett,State Senate,36,NON,WRITE-IN,2
Narragansett,State House,33,DEM,Carol Hagan McEntee,3120
Narragansett,State House,33,NON,WRITE-IN,139
Narragansett,State House,34,DEM,Teresa A. Tanzi,2739
Narragansett,State House,34,NON,WRITE-IN,198
Narragansett,Non-Partisan Town Council TOWN OF NARRAGANSETT,,NON,Jesse Pugh,4816
Narragansett,Non-Partisan Town Council TOWN OF NARRAGANSETT,,NON,Susan P. Cicilline Buonanno,4362
Narragansett,Non-Partisan Town Council TOWN OF NARRAGANSETT,,NON,Patrick W. Murray,3874
Narragansett,Non-Partisan Town Council TOWN OF NARRAGANSETT,,NON,Ewa M. Dzwierzynski,3368
Narragansett,Non-Partisan Town Council TOWN OF NARRAGANSETT,,NON,Deborah A. Kopech,2757
Narragansett,Non-Partisan Town Council TOWN OF NARRAGANSETT,,NON,Laurie A. Kelly,2732
Narragansett,Non-Partisan Town Council TOWN OF NARRAGANSETT,,NON,Jill A. Lawler,2593
Narragansett,Non-Partisan Town Council TOWN OF NARRAGANSETT,,NON,Richard M. Lema,2219
Narragansett,Non-Partisan Town Council TOWN OF NARRAGANSETT,,NON,"Winters B. Hames, III",2135
Narragansett,Non-Partisan Town Council TOWN OF NARRAGANSETT,,NON,Steven B. Belaus,1934
Narragansett,Non-Partisan Town Council TOWN OF NARRAGANSETT,,NON,WRITE-IN,378
Narragansett,Non-Partisan School Committee TOWN OF NARRAGANSETT,,NON,Tammy J. McNeiece,4224
Narragansett,Non-Partisan School Committee TOWN OF NARRAGANSETT,,NON,Diane S. Nobles,3131
Narragansett,Non-Partisan School Committee TOWN OF NARRAGANSETT,,NON,Alexander T. Menzies,3101
Narragansett,Non-Partisan School Committee TOWN OF NARRAGANSETT,,NON,Joshua L. LaPlante,3063
Narragansett,Non-Partisan School Committee TOWN OF NARRAGANSETT,,NON,Justin Wolf Skenyon,2752
Narragansett,Non-Partisan School Committee TOWN OF NARRAGANSETT,,NON,Ethan J. Farrell,2751
Narragansett,Non-Partisan School Committee TOWN OF NARRAGANSETT,,NON,Alicia M. Vignali Henry,2720
Narragansett,Non-Partisan School Committee TOWN OF NARRAGANSETT,,NON,Matthew S. Ulricksen,1598
Narragansett,Non-Partisan School Committee TOWN OF NARRAGANSETT,,NON,WRITE-IN,87
Narragansett,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,4353
Narragansett,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,4241
Narragansett,2. AMENDMENT TO THE NARRAGANSETT HOME RULE CHARTER,,NON,Yes,5830
Narragansett,2. AMENDMENT TO THE NARRAGANSETT HOME RULE CHARTER,,NON,No,2368
Narragansett,3. AMENDMENT TO THE NARRAGANSETT CODE OF ORDINANCES,,NON,Yes,5643
Narragansett,3. AMENDMENT TO THE NARRAGANSETT CODE OF ORDINANCES,,NON,No,2807
Narragansett,4. AMENDMENT TO THE NARRAGANSETT HOME RULE CHARTER,,NON,Yes,5718
Narragansett,4. AMENDMENT TO THE NARRAGANSETT HOME RULE CHARTER,,NON,No,2534
Narragansett,5. ADOPTION OF RESOLUTION DISPOSITION OF REAL PROPERTY,,NON,Yes,5567
Narragansett,5. ADOPTION OF RESOLUTION DISPOSITION OF REAL PROPERTY,,NON,No,2695
New Shoreham,President,,DEM,Joseph R. Biden,748
New Shoreham,President,,REP,Donald J. Trump,195
New Shoreham,President,,NON,WRITE-IN,7
New Shoreham,President,,Lib,Jo Jorgensen,4
New Shoreham,President,,All,Roque &quot;Rocky&quot; De La Fuente,1
New Shoreham,President,,AS,Brian Carroll,0
New Shoreham,President,,S&L,Gloria La Riva,0
New Shoreham,U.S. Senate,,DEM,John F. Reed,728
New Shoreham,U.S. Senate,,REP,Allen R. Waters,180
New Shoreham,U.S. Senate,,NON,WRITE-IN,1
New Shoreham,U.S. House,2,DEM,James R. Langevin,724
New Shoreham,U.S. House,2,REP,Robert B. Lancia,181
New Shoreham,U.S. House,2,NON,WRITE-IN,1
New Shoreham,State Senate,37,DEM,Virginia S. Sosnowski,728
New Shoreham,State Senate,37,REP,David A. Tacey,174
New Shoreham,State Senate,37,NON,WRITE-IN,4
New Shoreham,State House,36,REP,Blake A. Filippi,588
New Shoreham,State House,36,NON,WRITE-IN,66
New Shoreham,Moderator TOWN OF NEW SHOREHAM,,DEM,Margaret M. O&#39;Neill,801
New Shoreham,Moderator TOWN OF NEW SHOREHAM,,NON,WRITE-IN,12
New Shoreham,Assistant Moderator TOWN OF NEW SHOREHAM,,NON,WRITE-IN,57
New Shoreham,First Warden TOWN OF NEW SHOREHAM,,DEM,Andre M. Boudreau,594
New Shoreham,First Warden TOWN OF NEW SHOREHAM,,REP,Kenneth C. Lacoste,321
New Shoreham,First Warden TOWN OF NEW SHOREHAM,,NON,WRITE-IN,4
New Shoreham,Second Warden TOWN OF NEW SHOREHAM,,DEM,Sven C. Risom,725
New Shoreham,Second Warden TOWN OF NEW SHOREHAM,,NON,WRITE-IN,33
New Shoreham,Town Council TOWN OF NEW SHOREHAM,,DEM,Keith J. Stover,707
New Shoreham,Town Council TOWN OF NEW SHOREHAM,,DEM,Martha A. Ball,627
New Shoreham,Town Council TOWN OF NEW SHOREHAM,,Ind,Mark A. Emmanuelle,488
New Shoreham,Town Council TOWN OF NEW SHOREHAM,,DEM,Christopher A. Willi,442
New Shoreham,Town Council TOWN OF NEW SHOREHAM,,NON,WRITE-IN,26
New Shoreham,Town Sergeant TOWN OF NEW SHOREHAM,,DEM,"Thomas William Durden, II",818
New Shoreham,Town Sergeant TOWN OF NEW SHOREHAM,,NON,WRITE-IN,10
New Shoreham,Tax Assessor TOWN OF NEW SHOREHAM,,DEM,John A. Desmarais,840
New Shoreham,Tax Assessor TOWN OF NEW SHOREHAM,,NON,WRITE-IN,4
New Shoreham,Non-Partisan Block Island Land Trust Trustee,,NON,Wendy L. Crawford,786
New Shoreham,Non-Partisan Block Island Land Trust Trustee,,NON,Corrie E. Heinz,783
New Shoreham,Non-Partisan Block Island Land Trust Trustee,,NON,WRITE-IN,8
New Shoreham,Non-Partisan Block Island Housing Board,,NON,Kathryn A. McManus,748
New Shoreham,Non-Partisan Block Island Housing Board,,NON,WRITE-IN,74
New Shoreham,Non-Partisan School Committee TOWN OF NEW SHOREHAM,,NON,Ann C. Hall,725
New Shoreham,Non-Partisan School Committee TOWN OF NEW SHOREHAM,,NON,Jessica K. Willi,587
New Shoreham,Non-Partisan School Committee TOWN OF NEW SHOREHAM,,NON,WRITE-IN,235
New Shoreham,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,552
New Shoreham,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,280
Newport,President,,DEM,Joseph R. Biden,7866
Newport,President,,REP,Donald J. Trump,2662
Newport,President,,Lib,Jo Jorgensen,85
Newport,President,,NON,WRITE-IN,61
Newport,President,,All,Roque &quot;Rocky&quot; De La Fuente,16
Newport,President,,AS,Brian Carroll,12
Newport,President,,S&L,Gloria La Riva,10
Newport,U.S. Senate,,DEM,John F. Reed,7917
Newport,U.S. Senate,,REP,Allen R. Waters,2276
Newport,U.S. Senate,,NON,WRITE-IN,12
Newport,U.S. House,1,DEM,David N. Cicilline,7651
Newport,U.S. House,1,Ind,Frederick Wysocki,1184
Newport,U.S. House,1,Ind,Jeffrey Edward Lemire,882
Newport,U.S. House,1,NON,WRITE-IN,44
Newport,State Senate,12,DEM,Louis P. DiPalma,926
Newport,State Senate,12,NON,WRITE-IN,22
Newport,State Senate,13,DEM,Dawn M. Euer,7085
Newport,State Senate,13,NON,WRITE-IN,219
Newport,State House,73,DEM,Marvin L. Abney,3247
Newport,State House,73,NON,WRITE-IN,74
Newport,State House,75,DEM,Lauren H. Carson,4143
Newport,State House,75,REP,Patrick J. Donovan,1820
Newport,State House,75,NON,WRITE-IN,7
Newport,Non-Partisan Council-At-Large CITY OF NEWPORT,,NON,Jeanne-Marie Napolitano,4758
Newport,Non-Partisan Council-At-Large CITY OF NEWPORT,,NON,Jamie P. Bova,4716
Newport,Non-Partisan Council-At-Large CITY OF NEWPORT,,NON,Lynn Underwood Ceglie,3951
Newport,Non-Partisan Council-At-Large CITY OF NEWPORT,,NON,Elizabeth Fuerte,3659
Newport,Non-Partisan Council-At-Large CITY OF NEWPORT,,NON,Kevin Michaud,3634
Newport,Non-Partisan Council-At-Large CITY OF NEWPORT,,NON,Susan D. Taylor,3615
Newport,Non-Partisan Council-At-Large CITY OF NEWPORT,,NON,Elizabeth Evans Cullen,2382
Newport,Non-Partisan Council-At-Large CITY OF NEWPORT,,NON,Justin S. McLaughlin,1495
Newport,Non-Partisan Council-At-Large CITY OF NEWPORT,,NON,WRITE-IN,443
Newport,Non-Partisan Council Ward 1 Newport,,NON,Angela McCalla,1610
Newport,Non-Partisan Council Ward 1 Newport,,NON,"Hugo J. DeAscentis, Jr.",711
Newport,Non-Partisan Council Ward 1 Newport,,NON,WRITE-IN,8
Newport,Non-Partisan Council Ward 2 Newport,,NON,"Charles M. Holder, Jr.",1813
Newport,Non-Partisan Council Ward 2 Newport,,NON,Kim M. Salerno,1761
Newport,Non-Partisan Council Ward 2 Newport,,NON,WRITE-IN,14
Newport,Non-Partisan Council Ward 3 Newport,,NON,Kathryn E. Leonard,1625
Newport,Non-Partisan Council Ward 3 Newport,,NON,Paul E. Marshall,1483
Newport,Non-Partisan Council Ward 3 Newport,,NON,WRITE-IN,9
Newport,Non-Partisan School Committee CITY OF NEWPORT,,NON,Rebecca Bolan,4671
Newport,Non-Partisan School Committee CITY OF NEWPORT,,NON,Stephanie J. Winslow,4562
Newport,Non-Partisan School Committee CITY OF NEWPORT,,NON,Raymond E. Gomes,4547
Newport,Non-Partisan School Committee CITY OF NEWPORT,,NON,Sandra J. Flowers,4396
Newport,Non-Partisan School Committee CITY OF NEWPORT,,NON,Louisa H. Boatwright,4354
Newport,Non-Partisan School Committee CITY OF NEWPORT,,NON,James A. Dring,4056
Newport,Non-Partisan School Committee CITY OF NEWPORT,,NON,Robert J. Leary,3723
Newport,Non-Partisan School Committee CITY OF NEWPORT,,NON,"David R. Carlin, III",3441
Newport,Non-Partisan School Committee CITY OF NEWPORT,,NON,Michael J. Cullen,2607
Newport,Non-Partisan School Committee CITY OF NEWPORT,,NON,Nycole S. Matthews,2356
Newport,Non-Partisan School Committee CITY OF NEWPORT,,NON,WRITE-IN,169
Newport,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,5956
Newport,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,3978
Newport,2. ADDITION TO PELL ELEMENTARY AND CONSTRUCTION OF HS,,NON,Approve,7838
Newport,2. ADDITION TO PELL ELEMENTARY AND CONSTRUCTION OF HS,,NON,Reject,2176
North Kingstown,President,,DEM,Joseph R. Biden,10534
North Kingstown,President,,REP,Donald J. Trump,6633
North Kingstown,President,,Lib,Jo Jorgensen,203
North Kingstown,President,,NON,WRITE-IN,124
North Kingstown,President,,All,Roque &quot;Rocky&quot; De La Fuente,35
North Kingstown,President,,AS,Brian Carroll,33
North Kingstown,President,,S&L,Gloria La Riva,15
North Kingstown,U.S. Senate,,DEM,John F. Reed,11162
North Kingstown,U.S. Senate,,REP,Allen R. Waters,5940
North Kingstown,U.S. Senate,,NON,WRITE-IN,21
North Kingstown,U.S. House,2,DEM,James R. Langevin,10191
North Kingstown,U.S. House,2,REP,Robert B. Lancia,6851
North Kingstown,U.S. House,2,NON,WRITE-IN,35
North Kingstown,State Senate,35,DEM,Bridget G. Valverde,2138
North Kingstown,State Senate,35,REP,Charles P. Callanan,1802
North Kingstown,State Senate,35,NON,WRITE-IN,3
North Kingstown,State Senate,36,DEM,Alana DiMario,6434
North Kingstown,State Senate,36,REP,Doreen M. Costa,5370
North Kingstown,State Senate,36,Ind,Matthew M. Mannix,1107
North Kingstown,State Senate,36,NON,WRITE-IN,21
North Kingstown,State House,31,DEM,Julie A. Casimiro,5467
North Kingstown,State House,31,NON,WRITE-IN,291
North Kingstown,State House,32,DEM,Robert E. Craven,6766
North Kingstown,State House,32,NON,WRITE-IN,342
North Kingstown,Town Council TOWN OF NORTH KINGSTOWN,,DEM,Gregory A. Mancini,8728
North Kingstown,Town Council TOWN OF NORTH KINGSTOWN,,DEM,Kimberly Ann Page,8392
North Kingstown,Town Council TOWN OF NORTH KINGSTOWN,,DEM,Katherine K. Anderson,7701
North Kingstown,Town Council TOWN OF NORTH KINGSTOWN,,REP,Kerry P. McKay,7510
North Kingstown,Town Council TOWN OF NORTH KINGSTOWN,,REP,Mary K. Brimer,7317
North Kingstown,Town Council TOWN OF NORTH KINGSTOWN,,Ind,Kevin V. Maloney,7027
North Kingstown,Town Council TOWN OF NORTH KINGSTOWN,,REP,Randy G. Wietman,6939
North Kingstown,Town Council TOWN OF NORTH KINGSTOWN,,DEM,John D. Kliever,6819
North Kingstown,Town Council TOWN OF NORTH KINGSTOWN,,DEM,Brad L. Artery,6328
