county,office,district,party,candidate,votes
Bernalillo,STATE SENATOR,19,REPUBLICAN PARTY,SUE WILSON BEFFORT,11035
San Juan,STATE SENATOR,19,REPUBLICAN PARTY,SUE WILSON BEFFORT,557
Santa Fe,STATE SENATOR,19,REPUBLICAN PARTY,SUE WILSON BEFFORT,1918
Torrance,STATE SENATOR,19,REPUBLICAN PARTY,SUE WILSON BEFFORT,756
,STATE SENATOR,19,REPUBLICAN PARTY,SUE WILSON BEFFORT,14266
Bernalillo,STATE SENATOR,20,REPUBLICAN PARTY,WILLIAM H. PAYNE,14068
,STATE SENATOR,20,REPUBLICAN PARTY,WILLIAM H. PAYNE,14068
Bernalillo,STATE SENATOR,21,DEMOCRATIC PARTY,JESSICA LYNN WOLFE,9055
San Juan,STATE SENATOR,21,DEMOCRATIC PARTY,JESSICA LYNN WOLFE,2763
,STATE SENATOR,21,DEMOCRATIC PARTY,JESSICA LYNN WOLFE,11818
Bernalillo,STATE SENATOR,21,REPUBLICAN PARTY,KENT L. CRAVENS,13832
San Juan,STATE SENATOR,21,REPUBLICAN PARTY,KENT L. CRAVENS,1806
,STATE SENATOR,21,REPUBLICAN PARTY,KENT L. CRAVENS,15638
Bernalillo,STATE SENATOR,22,DEMOCRATIC PARTY,LYNDA M. LOVEJOY,446
Cibola,STATE SENATOR,22,DEMOCRATIC PARTY,LYNDA M. LOVEJOY,72
McKinley,STATE SENATOR,22,DEMOCRATIC PARTY,LYNDA M. LOVEJOY,3992
Rio Arriba,STATE SENATOR,22,DEMOCRATIC PARTY,LYNDA M. LOVEJOY,1011
San Juan,STATE SENATOR,22,DEMOCRATIC PARTY,LYNDA M. LOVEJOY,11387
,STATE SENATOR,22,DEMOCRATIC PARTY,LYNDA M. LOVEJOY,16908
Bernalillo,STATE SENATOR,23,REPUBLICAN PARTY,SANDER RUE,19737
San Juan,STATE SENATOR,23,REPUBLICAN PARTY,SANDER RUE,2601
,STATE SENATOR,23,REPUBLICAN PARTY,SANDER RUE,22338
Santa Fe,STATE SENATOR,24,DEMOCRATIC PARTY,NANCY RODRIGUEZ,15852
,STATE SENATOR,24,DEMOCRATIC PARTY,NANCY RODRIGUEZ,15852
Santa Fe,STATE SENATOR,25,DEMOCRATIC PARTY,PETER WIRTH,24902
,STATE SENATOR,25,DEMOCRATIC PARTY,PETER WIRTH,24902
Bernalillo,STATE SENATOR,26,DEMOCRATIC PARTY,BERNADETTE M. SANCHEZ,13750
,STATE SENATOR,26,DEMOCRATIC PARTY,BERNADETTE M. SANCHEZ,13750
Bernalillo,STATE SENATOR,26,REPUBLICAN PARTY,SPIRO GREGORY VASSILOPOULOS,4419
,STATE SENATOR,26,REPUBLICAN PARTY,SPIRO GREGORY VASSILOPOULOS,4419
Chaves,STATE SENATOR,27,REPUBLICAN PARTY,STUART INGLE,420
Curry,STATE SENATOR,27,REPUBLICAN PARTY,STUART INGLE,4201
De Baca,STATE SENATOR,27,REPUBLICAN PARTY,STUART INGLE,690
Roosevelt,STATE SENATOR,27,REPUBLICAN PARTY,STUART INGLE,4155
,STATE SENATOR,27,REPUBLICAN PARTY,STUART INGLE,9466
Catron,STATE SENATOR,28,DEMOCRATIC PARTY,HOWIE MORALES,841
Grant,STATE SENATOR,28,DEMOCRATIC PARTY,HOWIE MORALES,9604
Socorro,STATE SENATOR,28,DEMOCRATIC PARTY,HOWIE MORALES,3101
,STATE SENATOR,28,DEMOCRATIC PARTY,HOWIE MORALES,13546
Catron,STATE SENATOR,28,REPUBLICAN PARTY,JOSEPH D. GROS,1166
Grant,STATE SENATOR,28,REPUBLICAN PARTY,JOSEPH D. GROS,4035
Socorro,STATE SENATOR,28,REPUBLICAN PARTY,JOSEPH D. GROS,1589
,STATE SENATOR,28,REPUBLICAN PARTY,JOSEPH D. GROS,6790
Valencia,STATE SENATOR,29,DEMOCRATIC PARTY,MICHAEL S. SANCHEZ,14633
,STATE SENATOR,29,DEMOCRATIC PARTY,MICHAEL S. SANCHEZ,14633
Cibola,STATE SENATOR,30,DEMOCRATIC PARTY,DAVID ULIBARRI,3520
Socorro,STATE SENATOR,30,DEMOCRATIC PARTY,DAVID ULIBARRI,1789
Valencia,STATE SENATOR,30,DEMOCRATIC PARTY,DAVID ULIBARRI,2953
,STATE SENATOR,30,DEMOCRATIC PARTY,DAVID ULIBARRI,8262
Cibola,STATE SENATOR,30,REPUBLICAN PARTY,JOSE A. SILVA,4130
Socorro,STATE SENATOR,30,REPUBLICAN PARTY,JOSE A. SILVA,1091
Valencia,STATE SENATOR,30,REPUBLICAN PARTY,JOSE A. SILVA,2226
,STATE SENATOR,30,REPUBLICAN PARTY,JOSE A. SILVA,7447
Dona Ana,STATE SENATOR,31,DEMOCRATIC PARTY,CYNTHIA L. NAVA,7550
,STATE SENATOR,31,DEMOCRATIC PARTY,CYNTHIA L. NAVA,7550
Chaves,STATE SENATOR,32,DEMOCRATIC PARTY,TIMOTHY Z. JENNINGS,6954
Eddy,STATE SENATOR,32,DEMOCRATIC PARTY,TIMOTHY Z. JENNINGS,963
Lincoln,STATE SENATOR,32,DEMOCRATIC PARTY,TIMOTHY Z. JENNINGS,386
Otero,STATE SENATOR,32,DEMOCRATIC PARTY,TIMOTHY Z. JENNINGS,418
,STATE SENATOR,32,DEMOCRATIC PARTY,TIMOTHY Z. JENNINGS,8721
Chaves,STATE SENATOR,33,REPUBLICAN PARTY,ROD ADAIR,7855
Lincoln,STATE SENATOR,33,REPUBLICAN PARTY,ROD ADAIR,6419
,STATE SENATOR,33,REPUBLICAN PARTY,ROD ADAIR,14274
Eddy,STATE SENATOR,34,REPUBLICAN PARTY,VERNON D. ASBILL,9215
Otero,STATE SENATOR,34,REPUBLICAN PARTY,VERNON D. ASBILL,4907
,STATE SENATOR,34,REPUBLICAN PARTY,VERNON D. ASBILL,14122
Hidalgo,STATE SENATOR,35,DEMOCRATIC PARTY,JOHN ARTHUR SMITH,1479
Luna,STATE SENATOR,35,DEMOCRATIC PARTY,JOHN ARTHUR SMITH,6255
Sierra,STATE SENATOR,35,DEMOCRATIC PARTY,JOHN ARTHUR SMITH,2902
,STATE SENATOR,35,DEMOCRATIC PARTY,JOHN ARTHUR SMITH,10636
Dona Ana,STATE SENATOR,36,DEMOCRATIC PARTY,MARY JANE GARCIA,9411
,STATE SENATOR,36,DEMOCRATIC PARTY,MARY JANE GARCIA,9411
Dona Ana,STATE SENATOR,36,REPUBLICAN PARTY,LEE S. COTTER,7736
,STATE SENATOR,36,REPUBLICAN PARTY,LEE S. COTTER,7736
Dona Ana,STATE SENATOR,37,DEMOCRATIC PARTY,STEPHEN H. FISCHMANN,12797
Sierra,STATE SENATOR,37,DEMOCRATIC PARTY,STEPHEN H. FISCHMANN,432
,STATE SENATOR,37,DEMOCRATIC PARTY,STEPHEN H. FISCHMANN,13229
Dona Ana,STATE SENATOR,37,REPUBLICAN PARTY,LEONARD LEE RAWSON,11804
Sierra,STATE SENATOR,37,REPUBLICAN PARTY,LEONARD LEE RAWSON,839
,STATE SENATOR,37,REPUBLICAN PARTY,LEONARD LEE RAWSON,12643
Dona Ana,STATE SENATOR,38,DEMOCRATIC PARTY,MARY KUPER PAPEN,12157
,STATE SENATOR,38,DEMOCRATIC PARTY,MARY KUPER PAPEN,12157
Los Alamos,STATE SENATOR,39,DEMOCRATIC PARTY,PHIL A. GRIEGO,1888
Mora,STATE SENATOR,39,DEMOCRATIC PARTY,PHIL A. GRIEGO,1945
San Juan,STATE SENATOR,39,DEMOCRATIC PARTY,PHIL A. GRIEGO,244
Sandoval,STATE SENATOR,39,DEMOCRATIC PARTY,PHIL A. GRIEGO,4268
Santa Fe,STATE SENATOR,39,DEMOCRATIC PARTY,PHIL A. GRIEGO,6366
Taos,STATE SENATOR,39,DEMOCRATIC PARTY,PHIL A. GRIEGO,1534
,STATE SENATOR,39,DEMOCRATIC PARTY,PHIL A. GRIEGO,16245
Dona Ana,STATE SENATOR,40,REPUBLICAN PARTY,DIANNA J. DURAN,241
Otero,STATE SENATOR,40,REPUBLICAN PARTY,DIANNA J. DURAN,9989
,STATE SENATOR,40,REPUBLICAN PARTY,DIANNA J. DURAN,10230
Eddy,STATE SENATOR,41,REPUBLICAN PARTY,CARROLL H. LEAVELL,2626
Lea,STATE SENATOR,41,REPUBLICAN PARTY,CARROLL H. LEAVELL,6076
,STATE SENATOR,41,REPUBLICAN PARTY,CARROLL H. LEAVELL,8702
Chaves,STATE SENATOR,42,REPUBLICAN PARTY,GAY G. KERNAN,571
Curry,STATE SENATOR,42,REPUBLICAN PARTY,GAY G. KERNAN,1682
Eddy,STATE SENATOR,42,REPUBLICAN PARTY,GAY G. KERNAN,640
Lea,STATE SENATOR,42,REPUBLICAN PARTY,GAY G. KERNAN,8548
Roosevelt,STATE SENATOR,42,REPUBLICAN PARTY,GAY G. KERNAN,1078
,STATE SENATOR,42,REPUBLICAN PARTY,GAY G. KERNAN,12519
San Miguel,STATE REPRESENTATIVE,1,REPUBLICAN PARTY,THOMAS C. TAYLOR,9762
,STATE REPRESENTATIVE,1,REPUBLICAN PARTY,THOMAS C. TAYLOR,9762
San Miguel,STATE REPRESENTATIVE,2,DEMOCRATIC PARTY,ALICE MARIE SLAVEN-EMOND,3467
,STATE REPRESENTATIVE,2,DEMOCRATIC PARTY,ALICE MARIE SLAVEN-EMOND,3467
San Miguel,STATE REPRESENTATIVE,2,REPUBLICAN PARTY,JAMES R. J. STRICKLER,6120
,STATE REPRESENTATIVE,2,REPUBLICAN PARTY,JAMES R. J. STRICKLER,6120
San Miguel,STATE REPRESENTATIVE,3,REPUBLICAN PARTY,PAUL C. BANDY,8335
,STATE REPRESENTATIVE,3,REPUBLICAN PARTY,PAUL C. BANDY,8335
San Miguel,STATE REPRESENTATIVE,4,DEMOCRATIC PARTY,RAY BEGAYE,7646
,STATE REPRESENTATIVE,4,DEMOCRATIC PARTY,RAY BEGAYE,7646
McKinley,STATE REPRESENTATIVE,5,DEMOCRATIC PARTY,SANDRA D. JEFF,5468
San Miguel,STATE REPRESENTATIVE,5,DEMOCRATIC PARTY,SANDRA D. JEFF,1022
,STATE REPRESENTATIVE,5,DEMOCRATIC PARTY,SANDRA D. JEFF,6490
McKinley,STATE REPRESENTATIVE,5,REPUBLICAN PARTY,MICHAEL E. LUNNON,1983
San Miguel,STATE REPRESENTATIVE,5,REPUBLICAN PARTY,MICHAEL E. LUNNON,246
,STATE REPRESENTATIVE,5,REPUBLICAN PARTY,MICHAEL E. LUNNON,2229
Cibola,STATE REPRESENTATIVE,6,DEMOCRATIC PARTY,ELISEO LEE ALCON,2432
McKinley,STATE REPRESENTATIVE,6,DEMOCRATIC PARTY,ELISEO LEE ALCON,3062
,STATE REPRESENTATIVE,6,DEMOCRATIC PARTY,ELISEO LEE ALCON,5494
Cibola,STATE REPRESENTATIVE,6,REPUBLICAN PARTY,R. GRANT CLAWSON,1578
McKinley,STATE REPRESENTATIVE,6,REPUBLICAN PARTY,R. GRANT CLAWSON,1793
,STATE REPRESENTATIVE,6,REPUBLICAN PARTY,R. GRANT CLAWSON,3371
Valencia,STATE REPRESENTATIVE,7,DEMOCRATIC PARTY,ANDREW J. BARRERAS,6185
,STATE REPRESENTATIVE,7,DEMOCRATIC PARTY,ANDREW J. BARRERAS,6185
Valencia,STATE REPRESENTATIVE,7,REPUBLICAN PARTY,TIMOTHY J. LARDNER,4960
,STATE REPRESENTATIVE,7,REPUBLICAN PARTY,TIMOTHY J. LARDNER,4960
Valencia,STATE REPRESENTATIVE,8,DEMOCRATIC PARTY,ELIAS BARELA,6582
,STATE REPRESENTATIVE,8,DEMOCRATIC PARTY,ELIAS BARELA,6582
Valencia,STATE REPRESENTATIVE,8,REPUBLICAN PARTY,PAUL H. GABALDON,4279
,STATE REPRESENTATIVE,8,REPUBLICAN PARTY,PAUL H. GABALDON,4279
McKinley,STATE REPRESENTATIVE,9,DEMOCRATIC PARTY,"PATRICIA ""PATTY"" A. LUNDSTROM",5992
San Miguel,STATE REPRESENTATIVE,9,DEMOCRATIC PARTY,"PATRICIA ""PATTY"" A. LUNDSTROM",519
,STATE REPRESENTATIVE,9,DEMOCRATIC PARTY,"PATRICIA ""PATTY"" A. LUNDSTROM",6511
Bernalillo,STATE REPRESENTATIVE,10,DEMOCRATIC PARTY,"HENRY ""KIKI"" SAAVEDRA",4394
Valencia,STATE REPRESENTATIVE,10,DEMOCRATIC PARTY,"HENRY ""KIKI"" SAAVEDRA",1938
,STATE REPRESENTATIVE,10,DEMOCRATIC PARTY,"HENRY ""KIKI"" SAAVEDRA",6332
Bernalillo,STATE REPRESENTATIVE,11,DEMOCRATIC PARTY,RICK S. MIERA,9600
,STATE REPRESENTATIVE,11,DEMOCRATIC PARTY,RICK S. MIERA,9600
Bernalillo,STATE REPRESENTATIVE,12,DEMOCRATIC PARTY,ERNEST H. CHAVEZ,6265
,STATE REPRESENTATIVE,12,DEMOCRATIC PARTY,ERNEST H. CHAVEZ,6265
Bernalillo,STATE REPRESENTATIVE,12,REPUBLICAN PARTY,CLYDE C. WHEELER,2529
,STATE REPRESENTATIVE,12,REPUBLICAN PARTY,CLYDE C. WHEELER,2529
Bernalillo,STATE REPRESENTATIVE,12,INDEPENDENT PARTY,ROBERT A. SCHILLER,766
,STATE REPRESENTATIVE,12,INDEPENDENT PARTY,ROBERT A. SCHILLER,766
Bernalillo,STATE REPRESENTATIVE,13,DEMOCRATIC PARTY,ELEANOR CHAVEZ,9992
,STATE REPRESENTATIVE,13,DEMOCRATIC PARTY,ELEANOR CHAVEZ,9992
Bernalillo,STATE REPRESENTATIVE,14,DEMOCRATIC PARTY,MIGUEL P. GARCIA,6713
,STATE REPRESENTATIVE,14,DEMOCRATIC PARTY,MIGUEL P. GARCIA,6713
Bernalillo,STATE REPRESENTATIVE,14,REPUBLICAN PARTY,CLARA A. PENA,1940
,STATE REPRESENTATIVE,14,REPUBLICAN PARTY,CLARA A. PENA,1940
Bernalillo,STATE REPRESENTATIVE,15,DEMOCRATIC PARTY,BILL B. O'NEILL,7532
,STATE REPRESENTATIVE,15,DEMOCRATIC PARTY,BILL B. O'NEILL,7532
Bernalillo,STATE REPRESENTATIVE,15,REPUBLICAN PARTY,TERESA A. ZANETTI,6929
,STATE REPRESENTATIVE,15,REPUBLICAN PARTY,TERESA A. ZANETTI,6929
Bernalillo,STATE REPRESENTATIVE,16,DEMOCRATIC PARTY,"ANTONIO ""MOE"" MAESTAS",9474
,STATE REPRESENTATIVE,16,DEMOCRATIC PARTY,"ANTONIO ""MOE"" MAESTAS",9474
Bernalillo,STATE REPRESENTATIVE,17,DEMOCRATIC PARTY,EDWARD C. SANDOVAL,9637
,STATE REPRESENTATIVE,17,DEMOCRATIC PARTY,EDWARD C. SANDOVAL,9637
Bernalillo,STATE REPRESENTATIVE,17,REPUBLICAN PARTY,RONALD G. TOYA,4839
,STATE REPRESENTATIVE,17,REPUBLICAN PARTY,RONALD G. TOYA,4839
Bernalillo,STATE REPRESENTATIVE,18,DEMOCRATIC PARTY,GAIL CHASEY,10237
,STATE REPRESENTATIVE,18,DEMOCRATIC PARTY,GAIL CHASEY,10237
Bernalillo,STATE REPRESENTATIVE,19,DEMOCRATIC PARTY,SHERYL M. WILLIAMS STAPLETON,7764
,STATE REPRESENTATIVE,19,DEMOCRATIC PARTY,SHERYL M. WILLIAMS STAPLETON,7764
Bernalillo,STATE REPRESENTATIVE,20,REPUBLICAN PARTY,RICHARD J. BERRY,9462
,STATE REPRESENTATIVE,20,REPUBLICAN PARTY,RICHARD J. BERRY,9462
Bernalillo,STATE REPRESENTATIVE,21,DEMOCRATIC PARTY,MIMI STEWART,6015
,STATE REPRESENTATIVE,21,DEMOCRATIC PARTY,MIMI STEWART,6015
Bernalillo,STATE REPRESENTATIVE,21,REPUBLICAN PARTY,HOWARD LOUIS DE LA CRUZ-BANCROFT,2912
,STATE REPRESENTATIVE,21,REPUBLICAN PARTY,HOWARD LOUIS DE LA CRUZ-BANCROFT,2912
Bernalillo,STATE REPRESENTATIVE,22,DEMOCRATIC PARTY,JANICE M. SAXTON,4086
San Juan,STATE REPRESENTATIVE,22,DEMOCRATIC PARTY,JANICE M. SAXTON,2052
Santa Fe,STATE REPRESENTATIVE,22,DEMOCRATIC PARTY,JANICE M. SAXTON,1095
,STATE REPRESENTATIVE,22,DEMOCRATIC PARTY,JANICE M. SAXTON,7233
Bernalillo,STATE REPRESENTATIVE,22,REPUBLICAN PARTY,KATHY MCCOY,6184
San Juan,STATE REPRESENTATIVE,22,REPUBLICAN PARTY,KATHY MCCOY,1810
Santa Fe,STATE REPRESENTATIVE,22,REPUBLICAN PARTY,KATHY MCCOY,2146
,STATE REPRESENTATIVE,22,REPUBLICAN PARTY,KATHY MCCOY,10140
Bernalillo,STATE REPRESENTATIVE,23,DEMOCRATIC PARTY,BENJAMIN HAYDEN RODEFER,5633
San Juan,STATE REPRESENTATIVE,23,DEMOCRATIC PARTY,BENJAMIN HAYDEN RODEFER,2516
,STATE REPRESENTATIVE,23,DEMOCRATIC PARTY,BENJAMIN HAYDEN RODEFER,8149
Bernalillo,STATE REPRESENTATIVE,23,REPUBLICAN PARTY,ERIC A. YOUNGBERG,5753
San Juan,STATE REPRESENTATIVE,23,REPUBLICAN PARTY,ERIC A. YOUNGBERG,1960
,STATE REPRESENTATIVE,23,REPUBLICAN PARTY,ERIC A. YOUNGBERG,7713
Bernalillo,STATE REPRESENTATIVE,24,REPUBLICAN PARTY,JANICE E. ARNOLD-JONES,8704
,STATE REPRESENTATIVE,24,REPUBLICAN PARTY,JANICE E. ARNOLD-JONES,8704
Bernalillo,STATE REPRESENTATIVE,25,DEMOCRATIC PARTY,DANICE R. PICRAUX,9572
,STATE REPRESENTATIVE,25,DEMOCRATIC PARTY,DANICE R. PICRAUX,9572
Bernalillo,STATE REPRESENTATIVE,26,DEMOCRATIC PARTY,AL PARK,5502
,STATE REPRESENTATIVE,26,DEMOCRATIC PARTY,AL PARK,5502
Bernalillo,STATE REPRESENTATIVE,26,REPUBLICAN PARTY,RHEAD A. STORY,1835
,STATE REPRESENTATIVE,26,REPUBLICAN PARTY,RHEAD A. STORY,1835
Bernalillo,STATE REPRESENTATIVE,27,REPUBLICAN PARTY,LORENZO A. LARRANAGA,11882
,STATE REPRESENTATIVE,27,REPUBLICAN PARTY,LORENZO A. LARRANAGA,11882
Bernalillo,STATE REPRESENTATIVE,28,DEMOCRATIC PARTY,SHAY ROSE,6306
,STATE REPRESENTATIVE,28,DEMOCRATIC PARTY,SHAY ROSE,6306
Bernalillo,STATE REPRESENTATIVE,28,REPUBLICAN PARTY,JIMMIE C. HALL,7274
,STATE REPRESENTATIVE,28,REPUBLICAN PARTY,JIMMIE C. HALL,7274
Bernalillo,STATE REPRESENTATIVE,29,REPUBLICAN PARTY,THOMAS ANTHONY ANDERSON,14871
,STATE REPRESENTATIVE,29,REPUBLICAN PARTY,THOMAS ANTHONY ANDERSON,14871
Bernalillo,STATE REPRESENTATIVE,30,DEMOCRATIC PARTY,KAREN E. GIANNINI,6647
,STATE REPRESENTATIVE,30,DEMOCRATIC PARTY,KAREN E. GIANNINI,6647
Bernalillo,STATE REPRESENTATIVE,30,REPUBLICAN PARTY,JUSTINE FOX YOUNG,6483
,STATE REPRESENTATIVE,30,REPUBLICAN PARTY,JUSTINE FOX YOUNG,6483
Bernalillo,STATE REPRESENTATIVE,31,REPUBLICAN PARTY,WILLIAM R. REHM,11117
,STATE REPRESENTATIVE,31,REPUBLICAN PARTY,WILLIAM R. REHM,11117
Luna,STATE REPRESENTATIVE,32,DEMOCRATIC PARTY,DONA G. IRWIN,5325
,STATE REPRESENTATIVE,32,DEMOCRATIC PARTY,DONA G. IRWIN,5325
Luna,STATE REPRESENTATIVE,32,REPUBLICAN PARTY,PHILIP H. SKINNER,2820
,STATE REPRESENTATIVE,32,REPUBLICAN PARTY,PHILIP H. SKINNER,2820
Dona Ana,STATE REPRESENTATIVE,33,DEMOCRATIC PARTY,JONI MARIE GUTIERREZ,7647
,STATE REPRESENTATIVE,33,DEMOCRATIC PARTY,JONI MARIE GUTIERREZ,7647
Dona Ana,STATE REPRESENTATIVE,34,DEMOCRATIC PARTY,MARY HELEN GARCIA,5111
,STATE REPRESENTATIVE,34,DEMOCRATIC PARTY,MARY HELEN GARCIA,5111
Dona Ana,STATE REPRESENTATIVE,35,DEMOCRATIC PARTY,ANTONIO LUJAN,6937
,STATE REPRESENTATIVE,35,DEMOCRATIC PARTY,ANTONIO LUJAN,6937
Dona Ana,STATE REPRESENTATIVE,36,DEMOCRATIC PARTY,"ANDREW ""ANDY"" NUNEZ",5432
,STATE REPRESENTATIVE,36,DEMOCRATIC PARTY,"ANDREW ""ANDY"" NUNEZ",5432
Dona Ana,STATE REPRESENTATIVE,36,REPUBLICAN PARTY,MIKE A. TELLEZ,4703
,STATE REPRESENTATIVE,36,REPUBLICAN PARTY,MIKE A. TELLEZ,4703
Dona Ana,STATE REPRESENTATIVE,37,DEMOCRATIC PARTY,JEFF STEINBORN,9305
,STATE REPRESENTATIVE,37,DEMOCRATIC PARTY,JEFF STEINBORN,9305
Dona Ana,STATE REPRESENTATIVE,37,REPUBLICAN PARTY,D. KENT EVANS,6068
,STATE REPRESENTATIVE,37,REPUBLICAN PARTY,D. KENT EVANS,6068
Grant,STATE REPRESENTATIVE,38,REPUBLICAN PARTY,DIANNE HAMILTON,3871
Hidalgo,STATE REPRESENTATIVE,38,REPUBLICAN PARTY,DIANNE HAMILTON,146
Sierra,STATE REPRESENTATIVE,38,REPUBLICAN PARTY,DIANNE HAMILTON,3737
,STATE REPRESENTATIVE,38,REPUBLICAN PARTY,DIANNE HAMILTON,7754
Grant,STATE REPRESENTATIVE,39,DEMOCRATIC PARTY,RODOLPHO MARTINEZ,6009
Hidalgo,STATE REPRESENTATIVE,39,DEMOCRATIC PARTY,RODOLPHO MARTINEZ,1245
,STATE REPRESENTATIVE,39,DEMOCRATIC PARTY,RODOLPHO MARTINEZ,7254
Mora,STATE REPRESENTATIVE,40,DEMOCRATIC PARTY,NICK L. SALAZAR,160
Rio Arriba,STATE REPRESENTATIVE,40,DEMOCRATIC PARTY,NICK L. SALAZAR,5327
Sandoval,STATE REPRESENTATIVE,40,DEMOCRATIC PARTY,NICK L. SALAZAR,1361
Santa Fe,STATE REPRESENTATIVE,40,DEMOCRATIC PARTY,NICK L. SALAZAR,523
Taos,STATE REPRESENTATIVE,40,DEMOCRATIC PARTY,NICK L. SALAZAR,1387
,STATE REPRESENTATIVE,40,DEMOCRATIC PARTY,NICK L. SALAZAR,8758
Rio Arriba,STATE REPRESENTATIVE,41,DEMOCRATIC PARTY,DEBBIE A. RODELLA,7052
San Juan,STATE REPRESENTATIVE,41,DEMOCRATIC PARTY,DEBBIE A. RODELLA,618
Taos,STATE REPRESENTATIVE,41,DEMOCRATIC PARTY,DEBBIE A. RODELLA,142
,STATE REPRESENTATIVE,41,DEMOCRATIC PARTY,DEBBIE A. RODELLA,7812
Taos,STATE REPRESENTATIVE,42,DEMOCRATIC PARTY,"ROBERTO ""BOBBY"" J. GONZALES",11597
,STATE REPRESENTATIVE,42,DEMOCRATIC PARTY,"ROBERTO ""BOBBY"" J. GONZALES",11597
Los Alamos,STATE REPRESENTATIVE,43,REPUBLICAN PARTY,JEANNETTE O. WALLACE,7980
San Juan,STATE REPRESENTATIVE,43,REPUBLICAN PARTY,JEANNETTE O. WALLACE,1122
Santa Fe,STATE REPRESENTATIVE,43,REPUBLICAN PARTY,JEANNETTE O. WALLACE,575
,STATE REPRESENTATIVE,43,REPUBLICAN PARTY,JEANNETTE O. WALLACE,9677
San Juan,STATE REPRESENTATIVE,44,DEMOCRATIC PARTY,LISA COUR,9812
,STATE REPRESENTATIVE,44,DEMOCRATIC PARTY,LISA COUR,9812
San Juan,STATE REPRESENTATIVE,44,REPUBLICAN PARTY,JANE E. POWDRELL-CULBERT,11581
,STATE REPRESENTATIVE,44,REPUBLICAN PARTY,JANE E. POWDRELL-CULBERT,11581
Santa Fe,STATE REPRESENTATIVE,45,DEMOCRATIC PARTY,JIM R. TRUJILLO,8678
,STATE REPRESENTATIVE,45,DEMOCRATIC PARTY,JIM R. TRUJILLO,8678
Santa Fe,STATE REPRESENTATIVE,46,DEMOCRATIC PARTY,BEN LUJAN,11025
,STATE REPRESENTATIVE,46,DEMOCRATIC PARTY,BEN LUJAN,11025
Santa Fe,STATE REPRESENTATIVE,47,DEMOCRATIC PARTY,"BRIAN F. EGOLF, JR.",14305
,STATE REPRESENTATIVE,47,DEMOCRATIC PARTY,"BRIAN F. EGOLF, JR.",14305
Santa Fe,STATE REPRESENTATIVE,48,DEMOCRATIC PARTY,"LUCIANO ""LUCKY"" VARELA",11173
,STATE REPRESENTATIVE,48,DEMOCRATIC PARTY,"LUCIANO ""LUCKY"" VARELA",11173
Catron,STATE REPRESENTATIVE,49,REPUBLICAN PARTY,DON TRIPP,1652
Socorro,STATE REPRESENTATIVE,49,REPUBLICAN PARTY,DON TRIPP,5883
Valencia,STATE REPRESENTATIVE,49,REPUBLICAN PARTY,DON TRIPP,2153
,STATE REPRESENTATIVE,49,REPUBLICAN PARTY,DON TRIPP,9688
Bernalillo,STATE REPRESENTATIVE,50,DEMOCRATIC PARTY,RHONDA S. KING,127
Santa Fe,STATE REPRESENTATIVE,50,DEMOCRATIC PARTY,RHONDA S. KING,4984
Torrance,STATE REPRESENTATIVE,50,DEMOCRATIC PARTY,RHONDA S. KING,4376
,STATE REPRESENTATIVE,50,DEMOCRATIC PARTY,RHONDA S. KING,9487
Otero,STATE REPRESENTATIVE,51,DEMOCRATIC PARTY,DOUGLAS MATTHEW POST,3222
,STATE REPRESENTATIVE,51,DEMOCRATIC PARTY,DOUGLAS MATTHEW POST,3222
Otero,STATE REPRESENTATIVE,51,REPUBLICAN PARTY,GLORIA C. VAUGHN,3819
,STATE REPRESENTATIVE,51,REPUBLICAN PARTY,GLORIA C. VAUGHN,3819
Dona Ana,STATE REPRESENTATIVE,52,DEMOCRATIC PARTY,JOSEPH CERVANTES,6443
,STATE REPRESENTATIVE,52,DEMOCRATIC PARTY,JOSEPH CERVANTES,6443
Dona Ana,STATE REPRESENTATIVE,53,DEMOCRATIC PARTY,NATHAN P. COTE,4717
Otero,STATE REPRESENTATIVE,53,DEMOCRATIC PARTY,NATHAN P. COTE,1147
,STATE REPRESENTATIVE,53,DEMOCRATIC PARTY,NATHAN P. COTE,5864
Dona Ana,STATE REPRESENTATIVE,53,REPUBLICAN PARTY,STANFORD ERIC LOCKE,2693
Otero,STATE REPRESENTATIVE,53,REPUBLICAN PARTY,STANFORD ERIC LOCKE,1379
,STATE REPRESENTATIVE,53,REPUBLICAN PARTY,STANFORD ERIC LOCKE,4072
Eddy,STATE REPRESENTATIVE,54,REPUBLICAN PARTY,WILLIAM J. GRAY,4528
Otero,STATE REPRESENTATIVE,54,REPUBLICAN PARTY,WILLIAM J. GRAY,305
,STATE REPRESENTATIVE,54,REPUBLICAN PARTY,WILLIAM J. GRAY,4833
Eddy,STATE REPRESENTATIVE,55,DEMOCRATIC PARTY,JOHN A. HEATON,5676
,STATE REPRESENTATIVE,55,DEMOCRATIC PARTY,JOHN A. HEATON,5676
Eddy,STATE REPRESENTATIVE,55,REPUBLICAN PARTY,CATHRYNN N. BROWN,4805
,STATE REPRESENTATIVE,55,REPUBLICAN PARTY,CATHRYNN N. BROWN,4805
Lincoln,STATE REPRESENTATIVE,56,REPUBLICAN PARTY,DUB WILLIAMS,2838
Otero,STATE REPRESENTATIVE,56,REPUBLICAN PARTY,DUB WILLIAMS,4450
,STATE REPRESENTATIVE,56,REPUBLICAN PARTY,DUB WILLIAMS,7288
